Item Code,Item Description,Unit,Rate,PCR RATE,FINAL ITEM NUMBER,Technical description   rating & size & & Make & MPN & Type
1112,Fuse Bussmann 315MMT  315A Semiconductor                                                            ,NOS.,1605,#N/A,,
1113,Fuse Bussmann 315MMT 315A Semiconductor                                                              ,NOS.,1605,#N/A,,
21353,Fuse Bussmann 315N09-660 315A HRC,NOS.,817.5,#N/A,,
1073,Fuse Bussmann 315NO9 315A HRC                                                                       ,NOS.,997.5,#N/A,,
1114,Fuse Bussmann 32ET 32A Semiconductor                                                                ,NOS.,395,#N/A,,
1046,Fuse Bussmann 32F06  32A HRC                                                                        ,NOS.,26,#N/A,,
1078,Fuse Bussmann 32FO7 32A HRC                                                                         ,NOS.,22,#N/A,,
1047,Fuse Bussmann 32H07  32A HRC                                                                        ,NOS.,63,#N/A,,
3252,Fuse Bussmann 32LET,NOS.,150.5,#N/A,,
1115,Fuse Bussmann 355LMT 355A Semiconductor                                                             ,NO.,0,#N/A,,
1116,Fuse Bussmann 355MMT 355A Semiconductor                                                             ,NOS.,1234.5,#N/A,,
1117,Fuse Bussmann 355MT 355A Semiconductor                                                              ,NOS.,669.89,#N/A,,
5196,Fuse Bussmann 355NHG2B1 355A Din Type,NOS.,493.5,#N/A,,
14306,Fuse Bussmann 355SN11  355 A  HRC,NO.,0,#N/A,,
19444,Fuse Bussmann 355SN11 (S)  355 A  HRC,NOS.,547.5,#N/A,,
1118,Fuse Bussmann 35ET 35A Semiconductor                                                                ,NOS.,256.13,#N/A,,
1050,Fuse Bussmann 35K07  35A HRC                                                                        ,NOS.,80.25,#N/A,,
1119,Fuse Bussmann 400LMT 400A Semiconductor                                                             ,NOS.,735,#N/A,,
1120,Fuse Bussmann 400MMT 400A Semiconductor                                                             ,NO.,0,#N/A,,
1074,Fuse Bussmann 400P09  400A HRC                                                                      ,NOS.,642.39,#N/A,,
1121,Fuse Bussmann 40ET 40A Semiconductor                                                                ,NOS.,208.95,#N/A,,
1051,Fuse Bussmann 40KO7  40A HRC                                                                        ,NOS.,71.65,#N/A,,
1123,Fuse Bussmann 450LMT 450A Semiconductor                                                             ,NO.,0,#N/A,,
1122,Fuse Bussmann 450MMT 450A Semiconductor                                                             ,NOS.,1412.25,#N/A,,
9670,Fuse Bussmann 450R11-660 450A,NOS.,1147.5,#N/A,,
7470,Fuse Bussmann 450SP11S 450A/415V BS88,NOS.,1027.5,#N/A,,
1052,Fuse Bussmann 4F06  4A HRC                                                                          ,NOS.,35,#N/A,,
1004,Fuse Bussmann 4H07/BI                                                                               ,NOS.,51,#N/A,,
1005,Fuse Bussmann 500FF/BI                                                                              ,NOS.,500,#N/A,,
10437,Fuse Bussmann 500LMMT  240VAC/500A  semiconductor fuse,NO.,0,#N/A,,
21793,Fuse Bussmann 500MMT 500A Semiconductor  ,NOS.,2190,#N/A,,
1124,Fuse Bussmann 500MMT 500A Semiconductor                                                             ,NOS.,2190,#N/A,,
1057,Fuse Bussmann 50KO7  50A HRC                                                                        ,NOS.,157.452,#N/A,,
2921,Fuse Bussmann 50LET/BI 50A Semiconductor,NOS.,206.62,#N/A,,
3738,Fuse Bussmann 50TO7 50A HRC,NOS.,85,#N/A,,
1125,Fuse Bussmann 56ET 56A Semiconductor                                                                ,NOS.,252.65,#N/A,,
17481,Fuse Bussmann 630FMM 630A Semiconductor,NOS.,2077.5,#N/A,,
6007,Fuse Bussmann 630LMMT 630A Semiconductor,NOS.,1342.58,#N/A,,
1126,Fuse Bussmann 630MMT 630A Semiconductor                                                             ,NO.,0,#N/A,,
16113,Fuse Bussmann 630NH3G3B 630A HRC  ,NO.,0,#N/A,,
1127,Fuse Bussmann 63ET                                                                                  ,NOS.,188.129,#N/A,,
1061,Fuse Bussmann 63K07  63A HRC                                                                        ,NOS.,157.5,#N/A,,
1128,Fuse Bussmann 6CT 6A Semiconductor                                                                  ,NOS.,100,#N/A,,
1006,Fuse Bussmann 6H07/BI                                                                               ,NOS.,42.44,#N/A,,
7384,Fuse Bussmann 710LMMT 700A Semiconductor,NO.,0,#N/A,,
1130,Fuse Bussmann 710MMT 710A Semiconductor                                                             ,NOS.,2103,#N/A,,
7305,Fuse Bussmann 710SR11 710A,NOS.,1673.25,#N/A,,
7232,Fuse Bussmann 800LMMT 800A Semiconductor,NO.,0,#N/A,,
16730,Fuse Bussmann 800SR11 800A HRC,NO.,0,#N/A,,
19377,Fuse Bussmann 800SR11S 800A HRC,NOS.,1572.75,#N/A,,
1131,Fuse Bussmann 80ET 80A Semiconductor                                                                ,NOS.,390,#N/A,,
1066,Fuse Bussmann 80L14  80A HRC                                                                        ,NOS.,204.6,#N/A,,
1134,Fuse Bussmann 80LET 80A Semiconductor                                                               ,NOS.,175,#N/A,,
4817,Fuse Bussmann 80LO9 80A HRC,NOS.,228.75,#N/A,,
4954,Fuse Bussmann 900LMMT 900A Semiconductor,NO.,0,#N/A,,
1132,Fuse Bussmann 90EET 90A Semiconductor                                                               ,NOS.,645,#N/A,,
7611,Fuse Bussmann C10G20,NOS.,75,#N/A,,
4836,Fuse Bussmann DEO125/BI,NOS.,153.33,#N/A,,
15841,Fuse Bussmann FF630 630A HRC   ,NO.,0,#N/A,,
8118,Fuse Bussmann HRC 630SR11 (S) 630A,NOS.,1651,#N/A,,
23365,Fuse Bussmann KTK 1-1/2  fast-acting,NOS.,1325.324,#N/A,,
26186,Fuse Bussmann KTK 2  fast-acting,NOS.,844.714,#N/A,,
23633,Fuse Bussmann KTK 3  fast-acting,NOS.,875,#N/A,,
26200,Fuse Bussmann KTK 6  fast-acting,NOS.,810,#N/A,,
1021,Fuse Bussmann NSD10/BI HRC                                                                          ,NOS.,30.75,#N/A,,
9845,Fuse Bussmann NSD2/BI,NOS.,32.5,#N/A,,
1045,Fuse Bussmann NSD32/BI  32A HRC                                                                     ,NOS.,26,#N/A,,
1010,Fuse Bussmann NSD32/BI  32A HRC                                                                     ,NOS.,203,#N/A,,
1053,Fuse Bussmann NSD4/BI                                                                               ,NO.,0,#N/A,,
1064,Fuse Bussmann NSD6/BI                                                                               ,NOS.,30.18,#N/A,,
23790,Fuse Bussmann TFP160-660 160A HRC,NO.,0,#N/A,,
27326,Fuse Bussmann/Eaton 170M3743  160A/1250V Semiconductor,NOS.,4225,#N/A,,
22539,Fuse Bussmann/Eaton TCP100  100A HRC  460VDC,NOS.,205.5,#N/A,,
18546,Fuse Bussmann/Eaton TIA32  32A HRC  400Vdc,NOS.,63.75,#N/A,,
15139,Fuse Bussmann170M6216 1250A/690V,NO.,0,#N/A,,
10296,Fuse C&S CDFL00125 125A HRC,NO.,0,#N/A,,
7786,Fuse C&S CDFL00160 160A HRC,NOS.,215,#N/A,,
14736,Fuse C&S CDFL0032 32A HRC,NO.,0,#N/A,,
7734,Fuse C&S CDFL0035 35A HRC,NOS.,92.86,#N/A,,
3814,Fuse C&S CDFL1125 125A HRC,NOS.,279.69,#N/A,,
4238,Fuse C&S CDFL1200 200A HRC,NOS.,331.333,#N/A,,
5576,Fuse C&S CDFL1250 Size F1 250A HRC,NOS.,234.15,#N/A,,
4404,Fuse C&S CNS12 Size F1 12A HRC,NOS.,33,#N/A,,
7805,Fuse C&S CNS2 Size F1 2A HRC,NOS.,20.79,#N/A,,
4407,Fuse C&S CNS25 Size F1 25A HRC,NOS.,21.47,#N/A,,
3438,Fuse C&S OFAA00H100 100A HRC,NOS.,118.27,#N/A,,
3437,Fuse C&S OFAA00H160 160A HRC,NOS.,118.73,#N/A,,
7491,Fuse C&S OFAA00H50 50A HRC,NOS.,200,#N/A,,
4039,Fuse C&S OFAA00H63 63A HRC,NOS.,143.69,#N/A,,
3865,Fuse C&S OFAA00H80 80A HRC,NOS.,149.97,#N/A,,
29943,Fuse cover for SFU as per Dwg no- 08191-1101960-105-103,NOS.,84,#N/A,,
29366,FUSE COVER PHASE BARRIER KIT 3KX8440-9AE,NOS.,201.45,#N/A,,
28228,FUSE COVER PHASE BARRIER KIT SIEMENS 3KX8340-9AE,NOS.,276.327,#N/A,,
29655,FUSE COVER S1 2P-3KX8230-0JF  KPIN make,NOS.,250,#N/A,,
28134,FUSE COVER S1 3P-3KX81500-0AE  KPIN make,NOS.,100,#N/A,,
16508,FUSE COVER SIEMENS 3KX8150-0AC,NOS.,134.3,#N/A,,
5241,Fuse ETI C10M-1 1A(14x51mm),NOS.,110,#N/A,,
4840,Fuse ETI C10M-2 2A(14x51mm),NOS.,120,#N/A,,
25666,FUSE FLUKE  440mA 1KV DMM-44/100-R,NOS.,990,#N/A,,
4145,Fuse GE GSG1000/16 16A/690V HRC,NOS.,360,#N/A,,
1111,Fuse GE GSG1000/300 300A Semiconductor                                                              ,NOS.,650,#N/A,,
1140,Fuse GE GSMJ120 120A Semiconductor                                                                  ,NOS.,155,#N/A,,
1042,Fuse GE NS2 2A HRC                                                                                  ,NO.,0,#N/A,,
1039,Fuse GE NS25  25A HRC                                                                               ,NOS.,35,#N/A,,
8230,Fuse GE SS4 4A SFA8106004,NOS.,38,#N/A,,
1018,Fuse GE TCP100 HRC                                                                                  ,NOS.,197.84,#N/A,,
1067,Fuse GE TCP80  80A HRC                                                                              ,NOS.,208.7,#N/A,,
3740,Fuse GE TF125 125A,NOS.,250,#N/A,,
1023,Fuse GE TFP125 125A  HRC                                                                            ,NOS.,358.02,#N/A,,
1091,Fuse GE TIA10 10A HRC                                                                               ,NOS.,58.96,#N/A,,
1031,Fuse GE TIA16 16A HRC                                                                               ,NOS.,61.5,#N/A,,
1083,Fuse GE TKF250 250A HRC                                                                             ,NOS.,476,#N/A,,
3806,Fuse GE TM355 355A HRC      ,NO.,0,#N/A,,
3735,Fuse GE TSD125 125A,NOS.,250,#N/A,,
1089,Fuse GE TSF200 200A HRC                                                                             ,NOS.,204,#N/A,,
3739,Fuse GE TSLS630 630A,NOS.,2688.75,#N/A,,
8174,Fuse GE TTM500 500A/HRC,NO.,0,#N/A,,
1086,Fuse GE VST630 630A HRC                                                                             ,NOS.,1100,#N/A,,
23624,Fuse Holder Bussmann CHM1DU 690V AC 32A,NOS.,230,#N/A,,
4405,Fuse Holder C&S CNS20H Size F1 20A,NOS.,79.3,#N/A,,
4406,Fuse Holder C&S CSM32H Size A2 32A,NOS.,85.9,#N/A,,
24654,Fuse holder DF 480032  PMF 10X38  32A/690Vac,NOS.,10.44,#N/A,,
33318,FUSE HOLDER EATON CH141DU 14x51MM 690 V a.c / 750 VDC,NOS.,5368.08,#N/A,,
32516,Fuse holder EATON CHPV1U  ,NOS.,165,#N/A,,
21840,Fuse Holder Part no. 536410,NOS.,274.21,#N/A,,
14567,FUSE HRC BUSSMANN 400P11   400A,NOS.,988.5,#N/A,,
14532,Fuse HRC Bussmann 500R11-660   500A,NOS.,1025.78,#N/A,,
29568,Fuse HRC Bussmann ED250-415VAC  250A,NOS.,697.5,#N/A,,
21842,Fuse HRC Eaton / Busmann TIS35  35A               ,NO.,0,#N/A,,
17405,Fuse HRC Eaton / Busmann TIS40  40A               ,NOS.,101.25,#N/A,,
14795,Fuse HRC Eaton / Busmann TIS50  50A                   ,NOS.,110.25,#N/A,,
25687,Fuse HRC Eaton/ Bussmann TFP125 125A              ,NOS.,348,#N/A,,
1081,Fuse HRC Eaton/ Bussmann TFP160 160A                                                                            ,NOS.,401.25,#N/A,,
1062,Fuse HRC Eaton/ Bussmann TIS63 63A                                                 ,NOS.,119.125,#N/A,,
1059,Fuse HRC GE / Busmann TIS50  50A                                                              ,NOS.,119.406,#N/A,,
1079,Fuse HRC GE/ Busmann TIS36 36A                                                                        ,NOS.,101.688,#N/A,,
17079,FUSE HRC L&T SF94232 200A/415VAC,NO.,0,#N/A,,
17062,FUSE HRC L&T SF94436 500A/415VAC,NO.,0,#N/A,,
22728,FUSE HRC SIEMENS 3NA71320RC 125AMP  SIZE-1,NO.,0,#N/A,,
16237,Fuse HRC Siemens 3NA71440RC 250A,NOS.,571.474,#N/A,,
28264,Fuse HRC Siemens 3NA72440RC 250A,NOS.,663.6,#N/A,,
18263,Fuse HRC Siemens 3NA78050RC 16A,NOS.,190.786,#N/A,,
15286,Fuse HRC Siemens 3NA78070RC 20A,NOS.,166.119,#N/A,,
14105,Fuse HRC Siemens 3NA78100RC 25A,NOS.,235.015,#N/A,,
18262,Fuse HRC Siemens 3NA78120RC 32A,NOS.,186.918,#N/A,,
17348,Fuse HRC Siemens 3NA7822-0RC (63 A),NOS.,173.954,#N/A,,
24410,Fuse HRC Siemens 3NA78240RC 80A,NOS.,245.532,#N/A,,
19606,Fuse HRCSiemens 3NA71240RC   80A,NOS.,236.69,#N/A,,
19614,Fuse HRCSiemens 3NA71300RC  100A,NOS.,424.88,#N/A,,
7478,Fuse HRCSiemens 3NA71360RC 160A,NOS.,405.189,#N/A,,
16451,Fuse HRCSiemens 3NA71400RC 200A,NOS.,462.021,#N/A,,
16418,Fuse HRCSiemens 3NA71420RC   224A,NOS.,509.55,#N/A,,
31212,Fuse HRCSiemens 3NA72400RC 200A,NOS.,608.3,#N/A,,
16102,Fuse HRCSiemens 3NA72520RC 315A,NOS.,628.538,#N/A,,
16415,Fuse HRCSiemens 3NA72600RC 400A,NOS.,687.3,#N/A,,
15926,Fuse HRCSiemens 3NA78010RC 6A,NO.,0,#N/A,,
16742,Fuse Jeanmueller  R1086622  WITH MICROSWITCH & ADAPTER,NOS.,4650,#N/A,,
3273,Fuse Jeanmueller R1086241 400A/690V,NOS.,4250,#N/A,,
4508,Fuse Jeanmueller R1086641 500A/690V,NOS.,2376,#N/A,,
3274,Fuse Jeanmueller R1086941 630A/690V,NOS.,2892.39,#N/A,,
6068,Fuse Jeanmueller R2186924 630A/690V,NOS.,2227,#N/A,,
2931,Fuse Jeanmueller R3087941 1250A/690V,NOS.,4493.28,#N/A,,
3755,Fuse Jeanmueller R3187641 1000A/690V,NOS.,4500,#N/A,,
1094,Fuse Jeanmueller R5085253 200A/690V                                                                 ,NOS.,4250,#N/A,,
1093,Fuse Jeanmueller R5182250                                                                           ,NOS.,460,#N/A,,
1097,Fuse Jeanmueller R5183850  63A/690V                                                                 ,NOS.,521,#N/A,,
1098,Fuse Jeanmueller R5283550 50A/690V                                                                  ,NOS.,4200,#N/A,,
3754,Fuse Jeanmueller R5284150 80A/690V,NOS.,650,#N/A,,
2933,Fuse Jeanmueller R8327610 Adaptor,NOS.,497.25,#N/A,,
5117,FUSE L&T  SF94132 200A/500VAC,NOS.,393.589,#N/A,,
16074,FUSE L&T SF90142 32A HRC,NOS.,70.49,#N/A,,
10160,FUSE L&T SF90151 20A HRC,NO.,0,#N/A,,
16162,FUSE L&T SF90158 50A HRC,NO.,0,#N/A,,
7297,FUSE L&T SF94029 100A HRC,NOS.,300.018,#N/A,,
3103,FUSE L&T SF94030 125A HRC,NO.,0,#N/A,,
5122,FUSE L&T SF94233 250A/550VAC,NOS.,337.03,#N/A,,
5125,FUSE L&T SF94234 315A/500VAC,NOS.,439.07,#N/A,,
23265,Fuse L&T SF94334 315A HRC,NO.,0,#N/A,,
8113,Fuse L&T SF94335 400A HRC,NOS.,618,#N/A,,
6029,FUSE L&T SF94939 160A HRC,NOS.,287.5,#N/A,,
9099,FUSE L&T SF94940 63A HRC,NOS.,222.6,#N/A,,
28406,FUSE L&T SF94941 80A HRC,NOS.,266.5,#N/A,,
7952,Fuse L&T SF94942 100A HRC,NOS.,169.71,#N/A,,
19835,FUSE L&T SF94946 125A HRC,NOS.,309,#N/A,,
26675,Fuse NH Wohner 100A - 03919,NOS.,551.25,#N/A,,
17313,Fuse Reliance 100mA 250Vac Glass Cartridge Fast Blowing,NOS.,1.899,#N/A,,
17413,Fuse Reliance 1A 250VAC  Fast Blow Glass Cartridge,NOS.,3.5,#N/A,,
7983,Fuse Reliance 1A 32mm Fast Blow Glass Cartridge,NOS.,1.5,#N/A,,
12355,Fuse Reliance 250mA 250Vac Glass Cartridge Fast Blow,NOS.,1.66,#N/A,,
2853,Fuse Reliance 250mA 32mm Fast Blow Glass Cartridge,NOS.,1.54,#N/A,,
12356,Fuse Reliance 2A 250Vac Glass Cartridge  Type Fast blow,NOS.,3.964,#N/A,,
3099,Fuse Reliance 2A 32mm Fast Blow Glass Cartridge,NOS.,1.56,#N/A,,
15142,Fuse Reliance 315mA 250Vac Glass Cartridge  Type Fast blow,NOS.,2.179,#N/A,,
14340,Fuse Reliance 4A 250Vac Glass Cartridge  Fast Blow,NOS.,1.66,#N/A,,
2854,Fuse Reliance 4A 32mm Fast Blow Glass Cartridge,NOS.,1.98,#N/A,,
2861,Fuse Reliance 500mA 32mm Fast Blow Glass Cartridge,NOS.,1.6,#N/A,,
15143,Fuse Reliance 630mA 250Vac Glass Cartridge  Type Fast blow,NOS.,1.48,#N/A,,
1012,Fuse Reliance 6A 32mm Fast Blow Glass Cartridge                                                     ,NOS.,0.89,#N/A,,
9227,Fuse Siemens  DIN type 3NA78320RC 125Amps HRC                   ,NOS.,276.217,#N/A,,
1028,Fuse Siemens 3NA31367Y 160A HRC                                                                     ,NO.,0,#N/A,,
1033,Fuse Siemens 3NA31407Y  200A HRC                                                                    ,NO.,0,#N/A,,
1036,Fuse Siemens 3NA31447Y 250A HRC                                                                     ,NOS.,364,#N/A,,
1043,Fuse Siemens 3NA32527Y 315A HRC                                                                     ,NOS.,464.45,#N/A,,
3283,Fuse Siemens 3NA32607Y 400A HRC,NOS.,475.57,#N/A,,
24610,Fuse Siemens 3NA33650RC 500A HRC                  ,NOS.,744.57,#N/A,,
1087,Fuse Siemens 3NA33657Y 500A HRC                                                                     ,NO.,0,#N/A,,
29365,Fuse Siemens 3NA33720RC 630A HRC        ,NOS.,967.75,#N/A,,
1060,Fuse Siemens 3NA33727Y 630A HRC                                                                     ,NO.,0,#N/A,,
3733,Fuse Siemens 3NA38027Y 2A HRC,NOS.,60,#N/A,,
5738,Fuse Siemens 3NA38037Y 10A HRC,NO.,0,#N/A,,
6035,Fuse Siemens 3NA38057Y 16A HRC,NOS.,137.73,#N/A,,
6071,Fuse Siemens 3NA38077Y 20A HRC,NOS.,137.12,#N/A,,
1049,Fuse Siemens 3NA38127Y  32A HRC                                                                     ,NO.,0,#N/A,,
1058,Fuse Siemens 3NA38207Y 50A HRC                                                                      ,NO.,0,#N/A,,
1068,Fuse Siemens 3NA38247Y 80A HRC new code 3NA78240RC                                                                      ,NOS.,276.5,#N/A,,
1025,Fuse Siemens 3NA38327Y  125A HRC                                                                    ,NO.,0,#N/A,,
15335,Fuse Siemens 3NA7 812-0RC 32A HRC,NOS.,150.1,#N/A,,
3022,Fuse Siemens 3NA78170RC 40A Size 000,NOS.,243.591,#N/A,,
15346,Fuse Siemens 3NA78200RC 50A HRC                   ,NOS.,218.465,#N/A,,
1063,Fuse Siemens 3NA78220RC 63A HRC                                                                      ,NOS.,210.754,#N/A,,
1019,Fuse Siemens 3NA78300RC 100A HRC                                                                          ,NOS.,228.629,#N/A,,
1027,Fuse Siemens 3NA78360RC 160A HRC                                                                     ,NOS.,349.51,#N/A,,
3989,Fuse Siemens 3NWNS2 2A HRC,NOS.,45.279,#N/A,,
12585,Fuse Siemens 3NWNS20 20A HRC,NOS.,73.28,#N/A,,
14339,Fuse Siemens 3NWNS25 25A HRC,NO.,0,#N/A,,
1055,Fuse Siemens 3NWNS4 4A HRC                                                                          ,NOS.,50,#N/A,,
19726,Fuse Siemens 3NWNS6 6A HRC  ,NOS.,36.743,#N/A,,
1100,Fuse Siemens 3NWTIA10 10A Semiconductor                                                             ,NOS.,55,#N/A,,
1129,Fuse Siemens 3NWTIA6 6A                                                                                ,NOS.,61.43,#N/A,,
3711,Fuse Siemens 3NWTIS50 50A,NOS.,80,#N/A,,
15507,Galvalume sheet 2500mmx1250mmx1.2mm thick,NO.,0,#N/A,,
35258,galvanised steel flexible conduits-PVC sheathed  MSP-11,MTR,435,#N/A,,
1145,Gang Box for Single Switch                                                                          ,NOS.,15,#N/A,,
25256,Gas & Oil Pipe Drg No 7454B-120500-105-11,NOS.,700,#N/A,,
9070,Heat Shrink Sleeve  Bustube  Upto 24KV   GMB 25X8,MTR,0,#N/A,,
9071,Heat Shrink Sleeve 24KV GMB 40X16,MTR,187.03,#N/A,,
20012,Heat Shrink Sleeve Black for 25X6  Round Edge,MTR,44.88,#N/A,,
31624,Heat Shrink Sleeve Blue Color SFX Busbar size : 125X10 125x6,MTR,26.4,#N/A,,
30486,Heat Shrink Sleeve Blue Color SFX Busbar size : 30x6mm,MTR,7.2,#N/A,,
30482,Heat Shrink Sleeve Blue COLOR SFX Busbar size : 40 x 6mm,MTR,9,#N/A,,
31493,Heat Shrink Sleeve Blue COLOR SFX Busbar size : 50 x 12mm Size : 81 mm,MTR,12,#N/A,,
31497,Heat Shrink Sleeve Blue COLOR SFX Busbar size :12 x 3mm Size : 20 mm,MTR,4.5,#N/A,,
30489,Heat Shrink Sleeve Blue Color SFX Size 30mm  ,MTR,6,#N/A,,
28746,Heat Shrink Sleeve BLUE for 25X6  Round Edge,MTR,70,#N/A,,
22835,Heat Shrink Sleeve Bustube Upto 24KV GMB 30X12,MTR,0,#N/A,,
30606,Heat Shrink Sleeve Green Color SFX Busbar size : 48mm,MTR,7.2,#N/A,,
16522,Heat Shrink Sleeve Polyolyfin 125mm Black          ,MTR,360,#N/A,,
5839,Heat Shrink Sleeve Polyolyfin 12mm Black,MTR,11.4,#N/A,,
1185,Heat Shrink Sleeve Polyolyfin 25mm Black                                                            ,MTR,44.88,#N/A,,
1184,Heat Shrink Sleeve Polyolyfin 50mm Black                                                            ,MTR,90,#N/A,,
8521,Heat Shrink Sleeve Polyolyfin BUSTUBE GTB150/75,MTR,305.1,#N/A,,
9834,Heat Shrink Sleeve Polyolyfin For 75X6 Busbar,MTR,115.5,#N/A,,
31494,Heat Shrink Sleeve Red  COLOR SFX Busbar size : 50 x 12mm Size : 81 mm,MTR,12,#N/A,,
30483,Heat Shrink Sleeve Red Color SFX  Busbar size : 40x6mm,MTR,9,#N/A,,
31623,Heat Shrink Sleeve Red Color SFX Busbar size : 125X10 125x6,MTR,26.4,#N/A,,
30484,Heat Shrink Sleeve Red Color SFX Busbar size : 30x6mm,MTR,7.2,#N/A,,
31495,Heat Shrink Sleeve Red COLOR SFX Busbar size :12 x 3mm Size : 20 mm,MTR,4.5,#N/A,,
28745,Heat Shrink Sleeve RED for 25X6  Round Edge,MTR,70,#N/A,,
24300,Heat Shrink Sleeve WOER  Black COLOR H(DIA)80/40 RSFR-H,MTR,0,#N/A,,
24299,Heat Shrink Sleeve WOER RED COLOR H(Dia)80/40  RSFR-H,MTR,210,#N/A,,
34328,Heat Shrink Sleeve Yellow Color SFX Busbar size : 125X10 125x6,MTR,24,#N/A,,
30485,Heat Shrink Sleeve Yellow Color SFX Busbar size : 30x6mm,MTR,18,#N/A,,
30534,Heat Shrink Sleeve Yellow COLOR SFX Busbar size : 40 x 6mm,MTR,9,#N/A,,
31496,Heat Shrink Sleeve yellow Red COLOR SFX Busbar size :12 x 3mm Size : 20 mm,MTR,4.5,#N/A,,
20413,Heat shrinkable sleeve 50mm   10KV  color black,MTR,164,#N/A,,
21442,Heat shrinkable sleeve 50mm   24KV,MTR,330,#N/A,,
26150,Heat Sink Al. HS206  (105 x 45 )as per Drg.  7664-307-HS,NOS.,100,#N/A,,
26141,Heat Sink Al. HS206 /HS(105 x 45 ),SET,138.333,#N/A,,
23479,Heat Sink Al. HS206 /HS(105 x 45 )as per Drg. 6065-307-4 R01,NO.,0,#N/A,,
32016,Heat sink mounting Al.spacer as per drg. 21208-312-HS3_REV-01,SET,10560,#N/A,,
30357,HEAT SINK SIDE BLOCK AS PER DRG. NO.: 20392-302-6,SET,300,#N/A,,
30504,HEAT SINK SIDE BLOCK AS PER DRG. NO-00012-302-11,KG.,300,#N/A,,
24224,HEAT SRINK TUBE BUSTUBE GSC 50/25 BLACK COLOR UPTO 3.3KV,MTR,128,#N/A,,
24223,HEAT SRINK TUBE BUSTUBE GSC 50/25 BLUE COLOR UPTO 3.3KV,MTR,136,#N/A,,
24221,HEAT SRINK TUBE BUSTUBE GSC 50/25 RED COLOR UPTO 3.3KV,MTR,136,#N/A,,
24222,HEAT SRINK TUBE BUSTUBE GSC 50/25 YELLOW  COLOR UPTO 3.3KV,MTR,136,#N/A,,
2871,Heater Alf Heater Strip Type 150W/110VAC,NOS.,95,#N/A,,
9051,Heater Strip 100WT/230VAC,NO.,0,#N/A,,
4557,Heater Strip Type 100W,NOS.,140,#N/A,,
4511,Heater Strip Type 150W/230V,NOS.,240,#N/A,,
16136,Hooter Patlite BD-100E-J220VAC,NOS.,7650,#N/A,,
21553,Hooter Patlite BD-24AE-J 24VDC 80mm X 80mm,NOS.,6950,#N/A,,
1216,Hooter Phoenix 230VAC                                                                               ,NOS.,175,#N/A,,
1217,Hooter TARGET 96EHS-A5 230VAC 96x96                                                                 ,NOS.,1026,#N/A,,
1218,Hooter TARGET 96EHS-D4 110VAC 96x96                                                                 ,NOS.,400,#N/A,,
3992,Hooter TARGET RBA4 DIA 22.5mm 110VAC,NOS.,376.031,#N/A,,
1219,Hooter TARGET RB-A5 DIA 22.5mm 230VAC                                                               ,NOS.,357.261,#N/A,,
7835,Hooter TARGET RB-D2 DIA 22.5mm 24VAC/DC,NOS.,382.8,#N/A,,
29567,Hooter Teknic  Red  3PLBR4L BZ 24VDC,NOS.,222.546,#N/A,,
26262,Hooter w/o LED indication craftech dia 22.5mm 24VAC   CR-BZ-24-A,NOS.,135,#N/A,,
21355,Hooter with LED indication craftech dia 22.5mm 240V AC,NOS.,135,#N/A,,
17665,Hooter with LED indication craftech dia 22.5mm 24Vdc,NOS.,115,#N/A,,
21349,I/O MODULE BRAIN CHILD MAKE COMBINATION MODULE  In. I/O-DAIO In.,NO.,0,#N/A,,
15120,IC AM29F010B   32 PIN  PDIP  FK-292171,NOS.,2116.334,5644,,
27831,IC Microcontrollers SMD 16-bit 5V 40MHz TQFP-144   infineon make SAF-XC161CJ-16F40F BB,NOS.,1498.535,#N/A,,
25544,IGBT cover for MP2 TRCC  part no E31180 Rev A,NOS.,1387.12,#N/A,,
20793,IGBT Driver card 2AP0106 -12-FRC,NO.,0,#N/A,,
20791,IGBT Driver Core 2SC0106T2A0-12,NOS.,1000,#N/A,,
25524,IGBT Driver Core 2SC0106T2A1-12,NOS.,1113.75,#N/A,,
22091,IGBT driver core 537384,NOS.,15536.545,#N/A,,
25309,IGBT driver PSPC 420-17-20P  part no 537663  powersem make,NOS.,3971.573,#N/A,,
22089,IGBT driver unit MK513- 19195601,NO.,0,#N/A,,
22090,IGBT driver unit MK513C-19195602,NOS.,229977.618,#N/A,,
1231,IGBT Eupec BSM200GB60DLC                                                                            ,NOS.,2250,#N/A,,
1232,IGBT Eupec BSM300GB120DLC                                                                           ,NOS.,4504,#N/A,,
25308,IGBT FF300R12ME4  part no.537669  Infineon make,NOS.,12121.451,#N/A,,
1234,IGBT FUJ I 1MB400S120B                                                                              ,NOS.,3500,#N/A,,
1235,IGBT FUJI 2MBI2MBI100L120                                                                           ,NOS.,3800,#N/A,,
19613,IGBT IKW40N120H3  Infineon make,NOS.,242,#N/A,,
20781,IGBT Infineon FF100R12RT4,NOS.,2300,#N/A,,
14295,IGBT IXYS IXA37IF1200HJ   58A 1200V   ISOPLUS247  ,NO.,0,#N/A,,
1236,IGBT MITSUBISHI MG300J2YS50                                                                         ,NOS.,2700,#N/A,,
22098,IGBT module semikron SKM400GB12T4 2x400A 1200V-536683,NOS.,9753.638,#N/A,,
28491,IGBT Module_537676,NOS.,15599.047,#N/A,,
27939,IGBT Rack Front Sticker as per drawing No. 7951-307-31,NOS.,462,#N/A,,
27913,IGBT Semikron SKM100GB12T4,NOS.,1500,#N/A,,
